User Code,1 Please select your operating administration or office:,2 Begin typing your work zip code and select your work site from the list that will appear below.  If your site does not appear in the list select 'Site not found'.  If you telework 100% of the time please select the site to which you officially report.,3 What is your employment status?,4 How did you travel TO WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,5 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),6 Did you use the same method(s) of transportation indicated above to commute FROM WORK at the end of your workdays? (If you answer 'Yes' you will skip the next section.  This may conclude your survey.),7 How did you travel FROM WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,8 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),9 [HIDDEN] Thinking about last year what would you say is your PRIMARY commuting method?,If 'other' selected please indicate commuting method:,10 How often did you typically spend a full workday teleworking?,11 Overall how satisfied are you with the following?,Your commute to work,Your commute to home,Your agency's telework program,Your agency's alternative work schedule (AWS) program,12 What is the estimated distance between your home and the nearest public transit station or bus stop?,13 Is there any information you would like to add about your commute that was not addressed in this survey?,14 Were the survey questions clear?,15 Did you experience any technical problems while taking this survey?,Survey site was slow to load some/all questions,I was unable to connect to the survey on my first try,My survey link did not work,I had another technical problem not addressed here,I did not have any technical problems,16 How was your overall experience with this survey?,CO2e Emissions (CO2e MT) / year
XKYCJWEV,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),12,,,,,Car (drove alone),12,,,,,Car (drove alone),12,,,,,Car (drove alone),12,,,,,Car (drove alone),12,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",2.06763192
XLPY4FJL,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),35,,,,,Carpool/Vanpool,35,,,,,Car (drove alone),35,,,,,Other,N/A,,,,,Car (drove alone),35,,,,,Telecommuted,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once a week,,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,1 mile to 1.5 miles,"I am a cancer survivor and do not have the stamina to stand on public transportation. With low resistance to germs, it is healthier for me to minimize being in large crowds.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",4.22141517
XMR4IVK6,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,2,Transit rail (e.g. subway),16,Walk,<1,Carpool/Vanpool,2,Transit rail (e.g. subway),16,Walk,<1,Carpool/Vanpool,2,Transit rail (e.g. subway),16,Walk,<1,Carpool/Vanpool,2,Transit rail (e.g. subway),16,Walk,<1,Carpool/Vanpool,2,Transit rail (e.g. subway),16,Walk,<1,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,1.5 miles to 2 miles,"Reduction in Transit Benefits to a maximum of $130 per month for Metro/Metro Bus, coupled with the lower price of gas, makes it more economical to switch to driving to work.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.3771641
XN4T30D0,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,1,Transit rail (e.g. subway),9,,,Walk,1,Transit rail (e.g. subway),9,,,Walk,1,Transit rail (e.g. subway),9,,,Walk,1,Transit rail (e.g. subway),9,,,Walk,1,Transit rail (e.g. subway),9,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Somewhat satisfied,Somewhat satisfied,Very satisfied,N/A,0.5 to 1 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.67773456
XQXA3OXX,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Car (drove alone),60,Transit rail (e.g. subway),20,Commuter rail (e.g. regional),25,Car (drove alone),60,Transit rail (e.g. subway),20,Commuter rail (e.g. regional),25,Car (drove alone),60,Transit rail (e.g. subway),20,Commuter rail (e.g. regional),25,Car (drove alone),60,Transit rail (e.g. subway),20,Commuter rail (e.g. regional),25,Car (drove alone),60,Transit rail (e.g. subway),19,Commuter rail (e.g. regional),25,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,"I did not telework because I have technical issues (e.g., connectivity problems) that prevented me from teleworking",,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,More than 2 miles,"I actually have a four step to my commute: after the MARC, I take Metro trains to the office.  Total commute takes more than 3.25 hours each way, which will not torturous is neither environmentally sound nor a productive use of time, and rather costly, especially without the former transit subsidies.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",13.81122363
XR5DO3WS,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Other,N/A,,,,,Other,35,,,,,Other,N/A,,,,,Other,35,,,,,Other,N/A,,,,,Commuter Bus,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,Less than once a month,,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0
XS9VFJ0Z,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),1,,,Transit bus,2,Transit rail (e.g. subway),1,,,Transit bus,2,Transit rail (e.g. subway),1,,,Transit bus,2,Transit rail (e.g. subway),1,,,Transit bus,2,Transit rail (e.g. subway),1,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,I did not telework because I chose not to telework,,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.173898032
XUEGL1JU,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,Car (drove alone),2,Transit bus,33,,,N/A: Teleworked,N/A,,,,,Car (drove alone),2,Transit bus,33,,,N/A: Teleworked,N/A,,,,,Car (drove alone),2,Transit bus,33,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Twice a week,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,1.5 miles to 2 miles,It will be beneficial if the Agency starts to offer different types of AWS such as four work days at 10 hours a day.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.182845693
XUT0878D,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),2,Transit bus,2,Motorcycle,2,Transit rail (e.g. subway),2,Transit bus,2,Motorcycle,2,Transit rail (e.g. subway),2,Transit bus,2,Motorcycle,2,Transit rail (e.g. subway),2,Transit bus,2,Motorcycle,2,Transit rail (e.g. subway),2,Transit bus,2,Motorcycle,2,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motorcycle,,I did not telework because I chose not to telework,,Somewhat satisfied,Somewhat satisfied,N/A,N/A,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.406190672
XVOVM0N9,U.S. Agency for International Development ,"USAID2 - 2 Potomac Yards - 2733 Crystal City Drive, , Arlington, VA 22201",Federal Government Employee,,Transit rail (e.g. subway),17,,,,,Transit rail (e.g. subway),17,,,,,Transit rail (e.g. subway),17,,,,,N/A: Teleworked,N/A,,,,,Transit rail (e.g. subway),17,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,1.5 miles to 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.024132224
XWU7LRVD,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),7,,,,,Transit rail (e.g. subway),7,,,,,N/A: Teleworked,N/A,,,,,Transit rail (e.g. subway),7,,,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Twice a week,,Very satisfied,Very satisfied,Very satisfied,N/A,1 mile to 1.5 miles,"My office (Global Health) is moving to Crystal City this month - this will very negatively impact my commute, and I will be very dissatisfied overall, and have to cut into my work hours in order to drop off/pick up my kids from preschool.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.316276128
Y0DMXRZJ,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),5,,,,,Transit rail (e.g. subway),3,Transit bus,2,,,Transit rail (e.g. subway),3,Transit bus,2,,,Transit rail (e.g. subway),3,Transit bus,2,,,Transit rail (e.g. subway),3,Transit bus,2,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,I did not telework because I chose not to telework,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.43190723
Y4VAFSES,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),5,,,,,Transit rail (e.g. subway),5,,,,,Transit rail (e.g. subway),5,,,,,Transit rail (e.g. subway),5,,,,,Transit rail (e.g. subway),5,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Very satisfied,Very satisfied,very dissatisfied,Neither satisfied nor dissatisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.3765192
Y4YJQS4U,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,3,,,,,N/A: Teleworked,N/A,,,,,N/A: Teleworked,N/A,,,,,Bicycle,3,,,,,Bicycle,3,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,,Twice a week,,Very satisfied,Very satisfied,Very satisfied,N/A,0.5 to 1 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0
Y61VI30J,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,1,Transit rail (e.g. subway),4,,,Walk,1,Transit rail (e.g. subway),4,,,Walk,1,Transit rail (e.g. subway),4,,,Walk,1,Transit rail (e.g. subway),4,,,N/A: Teleworked,1,N/A: Teleworked,4,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Very satisfied,Very satisfied,Somewhat satisfied,N/A,0.5 to 1 mile,"The requirement to telework when the federal government is shut down due to weather causes a lot of issues in my family and as a manager, among staff.  Otherwise, the telecommuting program at USAID is pretty good (both as a participant and manager).",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.240972288
Y8DBE7K2,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),<1,Transit rail (e.g. subway),3,Walk,<1,Car (drove alone),<1,Transit rail (e.g. subway),3,Walk,<1,Car (drove alone),<1,Transit rail (e.g. subway),3,Walk,<1,Car (drove alone),<1,Transit rail (e.g. subway),3,Walk,<1,Car (drove alone),<1,Transit rail (e.g. subway),3,Walk,<1,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,"I did not telework because I must be physically present on the job (e.g., Law Enforcement)",,Very satisfied,Very satisfied,Very satisfied,Very satisfied,0.5 to 1 mile,"Yes, my age, 65, and pedestrian safety and snow days, and, extreme temps in summer.  I cannot safely drive or walk to the Metro Station or walk to the nearest bus stop in deep snow or during extreme temps in summer..   Thank you.  Linda D. Irika",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.22591152
Y8FRHO5I,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,<1,Transit rail (e.g. subway),8,Walk,<1,Walk,<1,Transit rail (e.g. subway),8,Walk,<1,Walk,<1,Transit rail (e.g. subway),8,Walk,<1,Walk,<1,Transit rail (e.g. subway),8,Walk,<1,Walk,<1,Transit rail (e.g. subway),8,Walk,<1,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk,,Once or twice a month,,Very satisfied,Very satisfied,Very satisfied,N/A,0.25 to 0.5 mile,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.60243072
Y9HXQE14,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),5,Commuter rail (e.g. regional),35,Bicycle,2,Car (drove alone),5,Commuter rail (e.g. regional),35,Bicycle,2,Car (drove alone),5,Commuter rail (e.g. regional),35,Bicycle,2,Car (drove alone),5,Commuter rail (e.g. regional),35,Bicycle,2,Car (drove alone),5,Commuter rail (e.g. regional),35,Bicycle,2,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,"I did not telework because I must be physically present on the job (e.g., Law Enforcement)",,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,3.6363805
YB4TVWJO,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),3,Walk,<1,,,Transit rail (e.g. subway),3,Walk,<1,,,Transit rail (e.g. subway),3,Walk,<1,,,Transit rail (e.g. subway),3,Walk,<1,,,Transit rail (e.g. subway),3,Walk,<1,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Very satisfied,Very satisfied,Very satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.22591152
YE9CAE0J,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),3,Transit bus,3,,,Transit rail (e.g. subway),3,Transit bus,3,,,Transit rail (e.g. subway),3,Transit bus,3,,,Transit rail (e.g. subway),3,Transit bus,3,,,Transit rail (e.g. subway),3,Transit bus,3,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,very dissatisfied,very dissatisfied,Somewhat dissatisfied,very dissatisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.373802808
YHXJY2GT,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,<1,Commuter rail (e.g. regional),4,,,Walk,<1,Transit rail (e.g. subway),4,,,Walk,<1,Transit rail (e.g. subway),4,,,Walk,<1,Transit rail (e.g. subway),4,,,Transit bus,2,Transit rail (e.g. subway),3,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,off,Favorable.  I did not experience any problems.,0.309055894
YJB715WM,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,,,,,Transit bus,1,Transit rail (e.g. subway),10,,,Transit bus,1,Transit rail (e.g. subway),10,,,Transit bus,1,Transit rail (e.g. subway),10,,,Transit bus,1,Transit rail (e.g. subway),10,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once a week,,very dissatisfied,very dissatisfied,Somewhat dissatisfied,N/A,0.5 to 1 mile,Management should ENCOURAGE telework.,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.641868397
YJTEJ02Z,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,More than 2 miles,I would like for my agency to include the number of telework days to at least 2 days.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.15060768
YJTEKD6R,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,1,,,,,Walk,1,,,,,Walk,1,,,,,Walk,1,,,,,Walk,1,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk,,I did not telework because I chose not to telework,,Very satisfied,Very satisfied,N/A,Very satisfied,Less than 0.25 mile,actual walking distance is 1.5 miles one way;,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,Favorable.  I did not experience any problems.,0
YMJBRY2U,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Intercity rail (e.g. Amtrak),3,Carpool/Vanpool,11,,,Intercity rail (e.g. Amtrak),3,Carpool/Vanpool,11,,,Intercity rail (e.g. Amtrak),3,Carpool/Vanpool,11,,,Intercity rail (e.g. Amtrak),3,Carpool/Vanpool,11,,,Intercity rail (e.g. Amtrak),3,Carpool/Vanpool,11,,,Metro System (intercity rail ? ),3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,I did not telework because I chose not to telework,,Very satisfied,Very satisfied,N/A,Very satisfied,More than 2 miles,No,No.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",1.20345039
YOW2U6F8,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),2,Walk,2,Bicycle,2,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,Transit rail (e.g. subway),2,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.15060768
YOWVBSEJ,U.S. Agency for International Development ,Site not found,Federal Government Employee,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,"I did not telework because I have technical issues (e.g., connectivity problems) that prevented me from teleworking",,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,1 mile to 1.5 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0
YQ4300NL,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,2,Transit bus,2,,,Transit bus,2,,,,,Transit bus,2,,,,,Transit bus,2,,,,,Transit bus,2,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,"I did not telework because I was not allowed to, even though I have the kind of job where I can telework",,Somewhat dissatisfied,very dissatisfied,very dissatisfied,very dissatisfied,0.5 to 1 mile,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.11831303
YRS89CXC,U.S. Agency for International Development ,"EnterpriseData - Enterprise Data - , , , VA 20523",Federal Government Employee,,Carpool/Vanpool,56,Commuter rail (e.g. regional),56,Car (drove alone),56,Carpool/Vanpool,56,Commuter rail (e.g. regional),56,Car (drove alone),56,Commuter rail (e.g. regional),56,Carpool/Vanpool,56,Car (drove alone),56,Commuter rail (e.g. regional),56,Carpool/Vanpool,56,Car (drove alone),56,N/A: Teleworked,N/A,N/A: Teleworked,N/A,Car (drove alone),56,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once a week,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,More than 2 miles,Reduction in transit subsidy limits my ability to fully utilize mass transit.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,off,"Neutral.  I had a few problems with the survey, but no major problems.",17.06035856
YTCIVLTQ,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,,,,,Car (drove alone),30,Transit rail (e.g. subway),20,,,Carpool/Vanpool,30,Transit rail (e.g. subway),20,,,N/A: Teleworked,N/A,,,,,Car (drove alone),50,,,,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Twice a week,,very dissatisfied,very dissatisfied,Very satisfied,Somewhat satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,off,Favorable.  I did not experience any problems.,3.87618126
YTJOA10J,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),2,,,,,Car (drove alone),2,,,,,Car (drove alone),2,,,,,N/A: Teleworked,N/A,,,,,Car (drove alone),2,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once a week,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,1.5 miles to 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.275684256
YTOAFUB4,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),15,,,,,Bicycle,15,,,,,Transit rail (e.g. subway),15,,,,,Transit rail (e.g. subway),15,,,,,Transit rail (e.g. subway),15,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Somewhat satisfied,Neither satisfied nor dissatisfied,Very satisfied,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.90364608
YUJG5Z1I,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,2,Transit rail (e.g. subway),11,,,Bicycle,2,Transit rail (e.g. subway),11,,,Bicycle,2,Transit rail (e.g. subway),11,,,Bicycle,2,Transit rail (e.g. subway),11,,,Bicycle,2,Transit rail (e.g. subway),11,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Five times a week,,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,1.5 miles to 2 miles,I would like the Metro benefits increased as it does not cover my monthly expenses and I only take metro rail and live within the beltway.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.82834224
